Day,Gold
1,1202.65
2,1206.55
3,1209.2
4,1216.65
5,1230.95
6,1226.5
7,1238.1
8,1240.4
9,1255.6
10,1257.2
11,1253.65
12,1247.9
13,1236.65
14,1233.2
15,1237.3
16,1241.95
17,1240.55
18,1224.4
19,1230.75
20,1222.25
21,1228.3
22,1236.8
23,1242.1
24,1231
25,1226.75
26,1215.2
27,1221.95
28,1203.65
29,1212.8
30,1192.8
31,1184.85
32,1189.7
33,1195
34,1216.8
35,1212.85
36,1200.55
37,1196.05
38,1214.75
39,1216.05
40,1203
41,1190.35
42,1205.05
43,1178.55
44,1189.5
45,1178.5
46,1175.85
47,1176.7
48,1164.25
49,1151
50,1145.9
51,1134.6
52,1131.35
53,1133.65
54,1125.7
55,1136.25
56,1131.6
57,1126.95
58,1162.25
59,1158.55
60,1156.1
61,1163.6
62,1171.05
63,1177.65
64,1172.5
65,1162.2
66,1173.5
67,1161.85
68,1178.1
69,1186.55
70,1187
71,1187.7
72,1186.1
73,1185.35
74,1212.25
75,1214.25
76,1211
77,1226.75
78,1229.2
79,1226.95
80,1213.6
81,1236.45
82,1267.5
83,1281.4
84,1282.35
85,1283.05
86,1302.8
87,1301
88,1303.75
89,1288.45
90,1272
91,1273
92,1266.25
93,1270.5
94,1269.4
95,1265.55
96,1266.05
97,1271.65
98,1269.05
99,1258.2
100,1254.8
101,1251.75
102,1261.05
103,1256.5
104,1253.45
105,1259.5
106,1258.75
107,1254.5
108,1269.4
109,1283.3
110,1313.3
111,1322.5
112,1318.1
113,1322.5
114,1327
115,1340.5
116,1338.65
117,1339.1
118,1326.1
119,1313.8
120,1314.85
121,1308.35
122,1310.8
123,1321.75
124,1323.65
125,1324.6
126,1330.85
127,1343.4
128,1348.35
129,1337.25
130,1326.35
131,1324.7
132,1309.5
133,1309.25
134,1318.15
135,1318.75
136,1321.3
137,1327.25
138,1342
139,1335.9
140,1346.4
141,1350.05
142,1343.35
143,1344
144,1339.4
145,1352.2
146,1355
147,1347.7
148,1341
149,1336.8
150,1340.4
151,1362.75
152,1358.9
153,1363.75
154,1349.65
155,1342
156,1341.75
157,1329
158,1323
159,1313.15
160,1320.75
161,1321.15
162,1315.9
163,1330.9
164,1334.7
165,1327
166,1323.6
167,1342.75
168,1342.4
169,1357.1
170,1354.25
171,1356.7
172,1366.25
173,1350.75
174,1350.75
175,1340
176,1320.75
177,1321.5
178,1309.7
179,1324.55
180,1315.5
181,1262.15
182,1264.85
183,1272.6
184,1281.8
185,1290.7
186,1310.75
187,1283.3
188,1287.15
189,1280.8
190,1275.5
191,1263.9
192,1263
193,1241
194,1244
195,1240.5
196,1212.4
197,1214.5
198,1212.1
199,1216.25
200,1223.85
201,1220.6
202,1236.85
203,1245.9
204,1254.2
205,1246.25
206,1272.9
207,1277
208,1285.75
209,1265.9
210,1279.25
211,1276.85
212,1262.8
213,1265.25
214,1289
215,1280.25
216,1283
217,1294
218,1285.65
219,1256
220,1247.4
221,1241.7
222,1238.9
223,1243.25
224,1249.25
225,1252
226,1255.4
227,1234.3
228,1227.1
229,1233.85
230,1245.75
231,1254.6
232,1254.75
233,1239.5
234,1242.1
235,1221.4
236,1231.25
237,1219.75
238,1213.6
239,1237
240,1236.25
241,1226
242,1221
243,1217.6
244,1252.5
245,1244.9
246,1252.1
247,1266.5
248,1228.5
249,1232
250,1242.75
251,1264.75
252,1266.5
253,1246.4
254,1267
255,1267.9
256,1277.5
257,1250.25
258,1239.2
259,1236.5
260,1234.9
261,1226.5
262,1236
263,1250.75
264,1221.35
265,1211
266,1231.15
267,1210.1
268,1210
269,1209.5
270,1208.2
271,1239.75
272,1241
273,1190
274,1191
275,1193.25
276,1150.35
277,1156.35
278,1132
279,1128.5
280,1126.5
281,1111.8
282,1114
283,1116.25
284,1113.6
285,1106.6
286,1096.25
287,1096.5
288,1101.75
289,1086.25
290,1089.2
291,1093.75
292,1088.4
293,1088.15
294,1085.4
295,1100.75
296,1101.85
297,1106.35
298,1091.4
299,1077
300,1082.25
301,1060
302,1070.1
303,1068.25
304,1074.9
305,1078.75
306,1062.5
307,1049.4
308,1075.25
309,1061.5
310,1068.25
311,1072.5
312,1071
313,1081
314,1072.1
315,1075.8
316,1079.25
317,1055.45
318,1055.4
319,1065.4
320,1061.9
321,1057.4
322,1071
323,1068
324,1076.4
325,1070.5
326,1081.75
327,1082.6
328,1067.75
329,1079.2
330,1084.75
331,1081.5
332,1087.4
333,1085.9
334,1087.1
335,1089.6
336,1088.9
337,1106.3
338,1114.7
339,1123.1
340,1134
341,1142.35
342,1148.6
343,1179.6
344,1165.7
345,1166.4
346,1161.25
347,1167
348,1167.1
349,1177.75
350,1175.4
351,1180.85
352,1184.25
353,1173.9
354,1165.2
355,1164.9
356,1151.55
357,1140
358,1144.6
359,1147.5
360,1139.75
361,1140.75
362,1119
363,1114
364,1132.1
