Day,TotalRefugee
1,25537
2,25537
3,25537
4,25537
5,25537
6,25537
7,25537
8,25537
9,25537
10,25537
11,25537
12,25537
13,25537
14,25537
15,23945
16,23945
17,23945
18,23945
19,23945
20,23945
21,23945
22,23945
23,23945
24,23945
25,23945
26,23945
27,23945
28,23945
29,23945
30,23945
31,23945
32,23945
33,23945
34,25895
35,25895
36,25895
37,25895
38,25895
39,25895
40,25895
41,25895
42,25895
43,25895
44,25895
45,25895
46,25895
47,25895
48,25895
49,25895
50,25895
51,25895
52,25895
53,25895
54,25895
55,25895
56,23879
57,23879
58,23879
59,23879
60,23879
61,23879
62,23879
63,23879
64,23879
65,23879
66,23879
67,23879
68,23879
69,23879
70,23879
71,23879
72,23879
73,23879
74,23879
75,23968
76,23968
77,23968
78,23968
79,23968
80,23968
81,23968
82,23968
83,23968
84,23968
85,23968
86,23968
87,23968
88,23968
89,23968
90,23968
91,23968
92,23968
93,23968
94,23968
95,23968
96,23105
97,23105
98,23105
99,23105
100,23105
101,23105
102,23105
103,23105
104,23105
105,23105
106,23105
107,23105
108,23105
109,23105
110,23105
111,23105
112,23105
113,23105
114,23105
115,23105
116,23105
117,26538
118,26538
119,26538
120,26538
121,26538
122,26538
123,26538
124,26538
125,26538
126,26538
127,26538
128,26538
129,26538
130,26538
131,26538
132,26538
133,26538
134,26538
135,26538
136,26538
137,26538
138,26538
139,26538
140,26538
141,26538
142,26538
143,26538
144,26538
145,26538
146,26538
147,26538
148,26538
149,26538
150,26538
151,26538
152,26538
153,26538
154,26538
155,26538
156,26538
157,26538
158,26538
159,26538
160,26538
161,26538
162,26538
163,26538
164,26538
165,26538
166,26538
167,26538
168,26538
169,26538
170,26538
171,26538
172,26538
173,26538
174,26538
175,26538
176,26538
177,26538
178,26538
179,25537
180,25537
181,25537
182,25537
183,25537
184,25537
185,25537
186,25537
187,25537
188,25537
189,25537
190,25537
191,25537
192,25537
193,25537
194,25537
195,25537
196,25537
197,25537
198,25537
199,25537
200,25537
201,25537
202,25537
203,25537
204,25537
205,25537
206,25537
207,25537
208,25537
209,25537
210,25537
211,25537
212,25537
213,25537
214,25537
215,25537
216,25537
217,25537
218,25537
219,25537
220,25537
221,25537
222,25537
223,25537
224,25537
225,25537
226,25537
227,25537
228,25537
229,25537
230,25537
231,25537
232,25537
233,25537
234,25537
235,25537
236,25537
237,25537
238,25537
239,25537
240,25537
241,25537
242,29032
243,29032
244,29032
245,29032
246,29032
247,29032
248,29032
249,29032
250,29032
251,29032
252,29032
253,29032
254,29032
255,29032
256,29032
257,29032
258,29032
259,29032
260,29032
261,29032
262,29032
263,27330
264,27330
265,27330
266,27330
267,27330
268,27330
269,27330
270,27330
271,27330
272,27330
273,27330
274,27330
275,27330
276,27330
277,27330
278,27330
279,27330
280,27330
281,27330
282,27330
283,25341
284,25341
285,25341
286,25341
